Date,MCP.AX,KSL.AX,AQZ.AX,SPK.AX,MTS.AX,AGL.AX,COL.AX,QAN.AX,QBE.AX,EVN.AX,BHP.AX
2018-05-08,198965,12917,35865,827976,7687316,1310795,8752527.0,6186643,3000279,5507366,7471645
2018-05-09,63666,28096,66078,683301,3856735,1132464,8752527.0,3978309,3509012,6119239,8226062
2018-05-10,194710,19232,151034,607121,3038382,1206419,8752527.0,8980366,2724900,2508460,7346232
2018-05-11,155854,75435,28533,912379,7523553,1319821,8752527.0,8404909,3226315,6047339,6057501
2018-05-14,216663,7907,22381,734480,2864262,1375411,8752527.0,5854250,4672458,5025162,8153682
2018-05-15,117797,9977,2461,961745,3314318,1630331,8752527.0,5673751,3294912,4600873,9855426
2018-05-16,73489,51228,11840,1447546,4117030,1804358,8752527.0,4622597,3358389,6042362,7353170
2018-05-17,68087,51228,31808,1331720,5514693,1299744,8752527.0,5194474,3691617,6011837,8011401
2018-05-18,105368,0,15671,779280,4012062,915133,8752527.0,5872961,3598392,3360216,6386906
2018-05-21,271211,0,69070,569305,1926456,903456,8752527.0,3923697,4170306,6610913,4222424
2018-05-22,149300,8876,45791,348966,2527953,1213087,8752527.0,3593047,3619880,4576131,4556956
2018-05-23,193362,166407,94860,757850,3446355,1725904,8752527.0,5933215,4415369,7102936,7392129
2018-05-24,67650,89305,294041,678100,14906707,1378100,8752527.0,4733806,4647279,6839531,10054137
2018-05-25,74485,27154,41006,961190,6617256,1533335,8752527.0,4203265,4889173,4080285,15394003
2018-05-28,139331,242718,21649,1190366,15769300,1212537,8752527.0,11041646,3126526,3588356,7601059
2018-05-29,96476,51574,50852,1369915,13706255,896243,8752527.0,4860005,3097977,5964174,5385351
2018-05-30,139555,351070,50086,1496057,16291064,1351149,8752527.0,7595855,6470581,8121163,7568092
2018-05-31,160180,8395,71160,1497946,15145811,4809476,8752527.0,7523113,7170135,4958908,13971360
2018-06-01,374084,51254,25247,934627,5002587,1124988,8752527.0,4322159,3035313,3796472,5275497
2018-06-04,93273,10786,507385,498670,2863760,2887076,8752527.0,2494905,2469824,5592494,3345184
2018-06-05,90383,10872,76550,601278,8823497,2345233,8752527.0,4069434,3875631,6465523,4970395
2018-06-06,1045744,25711,256655,1251802,16878734,2156204,8752527.0,5619749,4864666,7434510,8880003
2018-06-07,68362,25711,40799,825462,12701938,1761886,8752527.0,6495903,5085222,3928087,7472952
2018-06-08,122773,4464,73591,636929,5853295,1175872,8752527.0,3024586,4878061,3608406,5774504
2018-06-12,64007,29415,45317,1011426,15540701,2352127,8752527.0,10999128,4750269,10375710,7743820
2018-06-13,177023,11030,77616,1659659,7357014,2556327,8752527.0,7956447,3313282,8101143,5765718
2018-06-14,694765,11030,36691,827905,4725141,1508829,8752527.0,4855261,4655938,6779374,5120950
2018-06-15,383396,48483,68064,1008075,6779698,3235971,8752527.0,10955799,7806276,21315274,10924566
2018-06-18,211285,63613,44431,764296,4311479,1315808,8752527.0,3673041,4238662,9912998,6635673
2018-06-19,174585,11291,20519,1018080,3137142,1332983,8752527.0,3853073,5571273,8723180,9068288
2018-06-20,310107,66777,52788,1260180,3889986,1610321,8752527.0,4934075,8806162,11267442,7618676
2018-06-21,87078,29415,12404,2310444,5733227,2527530,8752527.0,10531478,6540551,9275040,12339242
2018-06-22,102423,6303,56695,1568805,6799055,1608030,8752527.0,7259883,4639370,6019159,8431261
2018-06-25,91656,397969,41573,1310496,15667456,1184386,8752527.0,4522042,5502413,5831093,6057499
2018-06-26,125551,319248,10271,1029209,6508843,1893944,8752527.0,5028829,2773266,8504172,9509460
2018-06-27,155934,177365,78643,954519,16263761,1341003,8752527.0,6986817,5008417,7635218,9332558
2018-06-28,116100,2110348,3900,721303,13067714,2001070,8752527.0,6520252,10595301,10764197,7719534
2018-06-29,45208,969427,67800,638470,6696172,2572432,8752527.0,6108500,6933061,6526610,19458632
2018-07-02,55102,382929,30047,875548,6108418,959679,8752527.0,3742072,2038322,5341171,5582854
2018-07-03,25045,1642121,30047,1034408,3650657,1595350,8752527.0,6886506,3435911,4633562,7723019
2018-07-04,183389,3366970,58401,856144,2858965,1006787,8752527.0,3084585,3599606,5966143,5111561
2018-07-05,51657,2508365,279915,593728,3933051,2045131,8752527.0,3992233,3777638,5942211,6135825
2018-07-06,80281,1551199,10996,643493,4182168,1742092,8752527.0,5992194,2608656,5470437,8182379
2018-07-09,45409,736189,24574,424141,3597526,1290394,8752527.0,4447878,2740474,5034094,5358487
2018-07-10,76489,490909,10117,781332,5535574,1862229,8752527.0,4231865,2871186,6064856,6770969
2018-07-11,30461,766716,41380,845151,5326004,5833039,8752527.0,4267493,2737084,7680422,8751397
2018-07-12,29701,443590,71403,615496,4791288,3077184,8752527.0,3784460,2836099,8037979,9230362
2018-07-13,35253,367069,20815,815195,4130730,1430062,8752527.0,3743921,3377998,4117849,7778476
2018-07-16,52676,483042,33838,540221,4075484,1564256,8752527.0,2773299,2683118,7128788,4811621
2018-07-17,37850,895988,21000,1094981,5595325,1534826,8752527.0,2485462,1875839,11455785,6852733
2018-07-18,26005,408012,23969,1624772,2566198,1017847,8752527.0,5912582,3085474,8204445,9657887
2018-07-19,50210,600259,23520,663503,4388831,2153973,8752527.0,5482933,3323379,16533360,8488027
2018-07-20,46580,302922,8615,707516,2705693,1233395,8752527.0,3595916,3546112,9114015,8801881
2018-07-23,52496,475270,36883,822483,4798622,863448,8752527.0,5101273,1858106,11786280,4969133
2018-07-24,32367,476405,13434,354099,3132884,1522991,8752527.0,3784626,4652825,12132778,5803491
2018-07-25,229137,646876,125058,478217,4761334,1319656,8752527.0,2205345,2650073,9654745,8864059
2018-07-26,74547,305914,26290,780091,3492264,1884674,8752527.0,3977665,3250190,10706768,6250430
2018-07-27,74007,539732,6804,1578359,8438372,2636350,8752527.0,5123794,3266710,61182270,12052606
2018-07-30,275024,410469,4194,484793,2880617,890493,8752527.0,2297017,1575704,9661853,5229762
2018-07-31,404711,289312,77180,687978,4359143,1942790,8752527.0,6603185,3714930,9902296,10919458
2018-08-01,157882,231453,17408,1072822,3306184,1347862,8752527.0,3253318,3519917,11516184,10653292
2018-08-02,85502,199306,21929,905278,5437680,1753299,8752527.0,5835806,5208779,8616539,9559402
2018-08-03,136142,216923,16721,1726089,1824852,972284,8752527.0,3678553,4934736,7153443,7755216
2018-08-06,28266,661736,14029,671994,3159437,904041,8752527.0,3535667,2777403,5369130,4185081
2018-08-07,70339,393079,46153,526182,4014327,1342515,8752527.0,3252316,5113024,6262975,6610914
2018-08-08,12295,385581,333644,660530,3862307,1619407,8752527.0,2470025,3396324,10442532,6265865
2018-08-09,42987,331230,1355727,1040525,4888730,4939706,8752527.0,3514834,4329576,7954568,5049098
2018-08-10,58647,220800,733435,1009090,2347855,3048330,8752527.0,3066227,2893215,6353050,3697752
2018-08-13,106169,221409,463699,1079548,4861863,2164639,8752527.0,2326112,3280625,6396960,6678589
2018-08-14,51236,578425,204143,753535,3907144,2139751,8752527.0,3893818,2153245,6365748,7630221
2018-08-15,61914,295025,137007,683669,4478143,2164860,8752527.0,2773579,3611199,5952477,5302365
2018-08-16,30796,751439,43157,961443,4016254,2908938,8752527.0,4614741,23284506,8880235,11588706
2018-08-17,3,489325,205342,1268464,2952153,1795674,8752527.0,2977215,10881629,14632729,5886152
2018-08-20,33305,399383,233330,1202842,3892268,4782444,8752527.0,4381417,7255207,9933869,6048345
2018-08-21,30673,333062,41142,664611,3202070,3428178,8752527.0,4382209,12655094,5119036,6852277
2018-08-22,126355,112374,974842,999458,2602142,2942797,8752527.0,2885659,6679079,7843145,7676102
2018-08-23,128064,714283,45296,1347107,2358802,2258677,8752527.0,14578203,8878644,7806196,7077811
2018-08-24,79868,720448,55745,672139,1909631,4295010,8752527.0,6882366,3622335,9585014,8069596
2018-08-27,182903,176869,117595,1060258,8339956,1534924,8752527.0,6361914,4332301,11049638,5406030
2018-08-28,212796,520893,486891,816544,13715847,1444136,8752527.0,14740653,4607830,7474151,4960603
2018-08-29,160908,104134,198265,1216570,8555946,2513780,8752527.0,5396370,8251277,11261237,8281308
2018-08-30,237741,48298,86262,1405534,5419052,1696027,8752527.0,5761798,5083726,6284312,6857692
2018-08-31,162563,176689,173251,1195368,4747415,2138880,8752527.0,5126242,4846815,7659436,11468594
2018-09-03,106379,58372,73947,1130410,1578366,1039656,8752527.0,3122464,2849853,6271657,4519801
2018-09-04,28242,79977,275665,771505,1474441,1713947,8752527.0,4455823,4382916,8687669,5984630
2018-09-05,232796,222868,201611,868468,1875444,2539341,8752527.0,4515564,6282811,11220829,9308515
2018-09-06,136498,109143,179974,1616934,3626950,3247150,8752527.0,5150937,4607412,8684441,11718944
2018-09-07,132613,52840,40654,1168408,1992953,2161692,8752527.0,5848309,4171624,11686579,6355554
2018-09-10,77720,246415,82314,745652,3557006,1514465,8752527.0,4937370,2577367,8627404,3765762
2018-09-11,15748,174015,214741,1376647,2384259,1224184,8752527.0,5652290,3757464,9829377,4984434
2018-09-12,96901,288906,894122,1547632,4119361,1916443,8752527.0,5723398,5435117,11105158,6188627
2018-09-13,61213,130972,78404,819414,2100585,2405724,8752527.0,4027416,4458023,12857136,6896196
2018-09-14,44141,224036,28396,1049616,3064525,1831010,8752527.0,3224286,2816607,7719409,8573574
2018-09-17,152073,135791,21903,674244,3381951,2083359,8752527.0,3304908,3954808,9806436,6293455
2018-09-18,78888,372263,10349,1793001,5048614,2656077,8752527.0,6486776,6071150,11200697,7437788
2018-09-19,49919,519791,15193,1122079,4854830,2112950,8752527.0,5207548,5099056,11688988,8449727
2018-09-20,240755,209840,32040,1312944,6697685,3054918,8752527.0,8331623,6324120,16076245,11177948
2018-09-21,436452,289125,88974,884321,8475825,2888914,8752527.0,8513119,5838201,35323939,15628827
2018-09-24,102135,745980,59614,838641,3862826,1288407,8752527.0,4494336,3566237,6676779,6989655
2018-09-25,93358,474807,145817,815418,3926498,1667117,8752527.0,7926476,3651256,6744754,12717780
2018-09-26,117246,424955,71634,621129,2739054,2910828,8752527.0,9517350,3233813,8580765,9450832
2018-09-27,38207,203161,108883,659531,3085457,2661313,8752527.0,6539926,4589972,7951026,9390474
2018-09-28,50258,454572,84459,1102272,2919924,3506557,8752527.0,5993061,6681286,5728097,16674599
2018-10-01,38821,126405,52177,670079,1257466,939260,8752527.0,1415503,1553358,2821480,3532613
2018-10-02,76117,165367,32461,1090874,2297674,1938349,8752527.0,7040631,3051110,3522614,10334064
2018-10-03,10000,166613,45156,785777,2330891,2262155,8752527.0,7595373,2473369,9731513,7055216
2018-10-04,66145,256031,66258,470618,3365220,1363672,8752527.0,4666153,6678520,7178277,7655666
2018-10-05,39134,269477,40437,488999,2185892,1218190,8752527.0,6933037,6068118,4690585,7144370
2018-10-08,109348,92341,18577,550833,2896267,1042069,8752527.0,4357665,3301232,8323724,7245527
2018-10-09,65384,115804,1015922,1223252,2824027,1444649,8752527.0,5899267,4517108,6137322,6444274
2018-10-10,73905,77751,4410,679272,2221863,1689269,8752527.0,8640279,4466210,5241881,6052374
2018-10-11,136911,442603,86839,1130613,4655827,3613554,8752527.0,8969476,12006682,12215374,11839047
2018-10-12,73703,197375,42527,755343,2964810,2538827,8752527.0,9598862,6669017,13570509,9493413
2018-10-15,152135,180237,1787568,636637,2932946,1798936,8752527.0,4281526,4498489,9071483,6237062
2018-10-16,43115,134374,840899,769422,1955320,1678939,8752527.0,5586181,4059001,8522387,8551558
2018-10-17,242458,301415,70397,551250,2628382,1318120,8752527.0,4997448,3245930,6408719,6015937
2018-10-18,635443,173653,23312,669577,1818944,1636539,8752527.0,7118958,4486300,6624047,7599985
2018-10-19,74290,155554,76851,419791,2567392,1377785,8752527.0,6568239,4988903,6946828,9911213
2018-10-22,725,164508,44422,447428,2875262,1126845,8752527.0,10819419,3151720,8243691,6767388
2018-10-23,13419,183117,28610,440701,2558973,2190763,8752527.0,7605464,3357365,5613484,7041615
2018-10-24,36595,188114,77310,387240,2275469,1981776,8752527.0,6303464,7319255,8257372,10000474
2018-10-25,108540,303590,208506,978554,4469494,3070264,8752527.0,10084639,7448348,12110990,14523621
2018-10-26,57870,835811,120079,1627209,5386728,3225316,8752527.0,9721685,8902465,9379898,13281242
2018-10-29,17071,487892,335185,1717304,4386567,2131214,8752527.0,4049500,3163754,6207056,4978968
2018-10-30,16218,198903,69161,1740229,3578634,2204326,8752527.0,4368082,2609089,9462589,6344985
2018-10-31,44036,175306,60830,1783860,10716833,2414812,8752527.0,6153576,4017237,11553980,8465664
2018-11-01,381725,135349,101781,975170,6688648,1585812,8752527.0,5381199,4315645,7754308,40072836
2018-11-02,19133,247244,47437,906373,2731615,1917721,8752527.0,5467632,3626166,8571734,10092702
2018-11-05,275482,97563,39159,434978,2095419,1534774,8752527.0,3989813,3071478,7709098,6652510
2018-11-06,218193,65067,30581,894663,1993883,1522158,8752527.0,3398266,1559412,5388288,5776421
2018-11-07,26746,11836,103860,1005761,3730252,2516718,8752527.0,4111088,1877205,8270108,6507141
2018-11-08,31372,28120,177766,764601,2026064,2939855,8752527.0,3484009,4728827,4366320,6330242
2018-11-09,38397,95116,90071,939971,2234003,1626961,8752527.0,5234795,3869626,4950472,4739776
2018-11-12,259297,19254,140939,913258,3983628,1700149,8752527.0,7105597,3757429,6495944,6912934
2018-11-13,16231,77045,25948,1266570,3946534,2329684,8752527.0,7279461,2859706,12193481,8914032
2018-11-14,43676,59203,48679,779682,3904224,2079704,8752527.0,8685903,2893023,6102152,7657824
2018-11-15,84558,11910,40400,1376486,2967493,2289238,8752527.0,5835370,2740086,6096136,7552992
2018-11-16,54559,63008,17325,1544652,3255592,1771516,8752527.0,4150546,2254260,3738835,6094631
2018-11-19,188801,145335,90583,913275,2998287,1289658,8752527.0,5445070,3032781,8199260,5269371
2018-11-20,224730,280673,357519,904798,3538690,2104121,8752527.0,6599038,5252461,10240532,8931955
2018-11-21,37907,213148,31454,572083,3174030,1871260,8752527.0,6079123,6515386,5221308,8890547
2018-11-22,122305,79538,79559,1013253,1351415,1716357,5673815.0,4777292,3498223,7010910,6275107
2018-11-23,239340,153072,83255,633271,948653,595753,5474121.0,2700747,2858760,3294917,4931623
2018-11-26,146193,111206,56306,690758,2743595,1262622,5085525.0,6202075,3409840,7852307,10708275
2018-11-27,64849,120852,29419,780667,3491704,1806963,6747945.0,5533768,3996354,7500914,9907764
2018-11-28,121189,209313,104535,740948,2178190,2064443,10082053.0,7727487,8701292,4607531,9539848
2018-11-29,112725,52247,14517,794727,2629915,1449249,8038728.0,7025925,5462538,5578855,10248126
2018-11-30,64520,73881,94803,1486772,4378934,5177136,15507962.0,8964978,8479566,9774369,18724023
2018-12-03,90525,19833,185801,1201839,7114429,1907377,7041600.0,8257536,2787276,6073082,13008987
2018-12-04,5981,76480,47480,767164,12742840,2297352,10601215.0,7326051,2931234,7405513,11215090
2018-12-05,149627,5200,17379,762630,7286136,1339495,8646218.0,8058133,8479157,6641659,9374895
2018-12-06,70456,81052,22853,1289979,2564320,2143895,4583350.0,5744112,4013260,7165096,10976980
2018-12-07,58435,77273,14216,908682,3304997,2709806,9192109.0,7640996,5612315,8247992,9933929
2018-12-10,7504,69980,25809,1007051,4676335,2048304,5910984.0,8699522,4022882,11082781,19566482
2018-12-11,79519,166681,39114,1089469,4118179,2363451,5395786.0,27119513,8618742,9972532,16609004
2018-12-12,112815,31230,26036,1113300,5707682,1972021,7801056.0,8662607,9968469,6397949,19131021
2018-12-13,38817,73940,10470,1002700,2366711,1167304,3975657.0,5546924,6902851,6497397,21146741
2018-12-14,28934,17510,5146,541118,4900715,1665925,5113674.0,8813331,4040115,6183537,20375037
2018-12-17,145618,3500,33578,1090243,2968055,1712926,4120952.0,5398551,3527790,7597922,42143842
2018-12-18,25317,39019,8012,516978,5746884,1602531,3725823.0,6527317,3504309,10795359,22785063
2018-12-19,15506,18991,139862,1425452,4997749,1763312,4364977.0,11319002,4831434,11906470,27489587
2018-12-20,15506,126595,28665,1234813,5890893,4277681,6923134.0,7670904,6358486,9092347,53011034
2018-12-21,25756,190625,62417,1657644,8635117,4028633,6351418.0,6464301,10260838,29416968,31737964
2018-12-24,5000,161752,74945,550531,1802504,533947,1445445.0,830279,2001382,3724773,7050559
2018-12-27,12021,82163,33174,668933,1781784,1570877,2216127.0,3047859,2988182,6305380,18884899
2018-12-28,4118,20620,27211,517373,2596088,1042163,1605489.0,2243092,2030709,4481441,23650510
2018-12-31,8421,7914,15365,386932,1467637,1224586,1333311.0,1608641,1809253,4853733,5997855
2019-01-02,15459,12189,4496,387432,2036323,1281185,1098216.0,3439023,1941743,4471457,8187658
2019-01-03,12638,15872,82610,518171,3541980,950441,1599882.0,3122836,5439652,7781338,9516503
2019-01-04,0,13802,28509,936405,3990077,1263554,2127786.0,4405253,4805173,11496030,10460952
2019-01-07,9951,25691,64965,622191,3641701,1097655,2266452.0,2960672,2443468,12245553,9606284
2019-01-08,7753,63750,41222,697788,3358561,1625051,3262339.0,4807112,3487668,12597063,9754021
2019-01-09,43754,83915,112431,634508,4674085,1691770,3009235.0,8926783,4192169,9742891,10623812
2019-01-10,1184,95813,243112,1314888,4334731,1685813,4299196.0,10143903,2695032,9996201,10043720
2019-01-11,35690,71691,30671,845322,3391744,1500914,3018688.0,5764791,1794308,9450929,6809953
2019-01-14,36335,57353,41767,590811,2772566,1089905,2914418.0,3313493,2987630,6499056,9060442
2019-01-15,79082,56469,21148,471954,2883320,1636353,3237995.0,4028139,2494981,7263511,6587660
2019-01-16,143481,40393,6461,1099047,4302086,3625173,2658982.0,4934951,3949738,6980333,12055679
2019-01-17,11506,41459,174775,885557,5001373,2018567,3841166.0,2999024,2789565,7447648,5893918
2019-01-18,347846,23025,3183,493455,2311137,1358770,3555168.0,3494462,2197729,6634130,10268737
2019-01-21,232469,198472,33768,692067,2449516,1141299,3098029.0,3114122,2337525,4859066,9025752
2019-01-22,148547,133532,9854,833049,3004566,995929,2082084.0,2498670,1716973,5701121,6460222
2019-01-23,26118,110306,160309,592894,4516886,1698071,4244315.0,4950215,3778978,9860097,6488756
2019-01-24,9605,30110,93219,1175910,3170361,2611196,3918229.0,4601396,4563649,8614478,6800310
2019-01-25,19978,3637,488229,922023,2816497,3797376,2524424.0,5710876,6456450,8848903,8845956
2019-01-29,26331,196840,52516,741791,2999804,1586404,4137948.0,4647293,4423323,11969750,8729105
2019-01-30,56265,327737,17129,759602,2702198,1369338,7627636.0,15180415,2460536,9585952,13288778
2019-01-31,20288,142390,24134,987755,4550555,1886154,3365225.0,24868590,2812125,10869750,17297791
2019-02-01,3999,905261,25202191,555614,2369007,946638,2403879.0,7875895,1799525,7367072,6989221
2019-02-04,92285,351488,1221749,657022,2405529,1844353,1599385.0,7534660,3550830,3416441,6159781
2019-02-05,121756,20450,445711,716332,2351644,2215035,2674544.0,14042252,3711421,5600109,8840104
2019-02-06,21864,368850,543192,464020,3284048,1602072,5988786.0,7999793,5470210,8030978,6281767
